t / s	B_B1 / mT	I_A1 / A
31.3	154	1.46
31.4	146	1.39
31.5	118	1.10
31.6	96	0.88
31.7	49	0.42
31.8	26	0.18
31.9	11	0.04
32.0	5	-0.02
32.1	7	0.00
32.2	7	0.00
32.3	7	-0.00
32.4	7	0.00
32.5	7	-0.00
32.6	7	-0.00
32.7	7	0.00
32.8	7	0.00
32.9	7	0.00
33.0	7	0.00
33.1	7	0.00
33.2	7	0.00
33.3	7	0.00
33.4	7	0.00
33.5	7	0.00
33.6	7	0.00
33.7	7	0.00
33.8	7	0.00
33.9	7	-0.00
34.0	7	0.00
34.1	7	-0.00
34.2	7	0.00
34.3	7	-0.00
34.4	7	0.00
34.5	7	-0.00
34.6	7	0.00
34.7	7	-0.00
34.8	7	0.00
34.9	7	0.00
35.0	7	0.00
35.1	7	0.00
35.2	7	0.00
35.3	7	0.00
